src_ip,dst_ip,src_port,dst_port,protocol,packet_size,packet_count,data_transferred,session_duration,tcp_flags,device_id,os_version,app_usage,file_access,system_calls,cpu_usage,memory_usage,login_attempts,failed_logins,location_changes,unusual_activity,suspicious_processes,malicious_urls,malicious_files,exploit_attempts,label
192.168.98.106,10.182.100.225,43464,30068,ICMP,80,25,7553,879,PSH,device1,Android10,36,22,766,91,65,3,4,2,0,0,1,0,1,1
172.21.207.82,172.19.49.64,60747,47522,ICMP,357,61,5282,804,RST,device4,Windows7,67,6,173,56,74,1,4,2,0,0,1,0,1,0
192.168.225.210,10.200.11.64,61539,27799,UDP,141,98,5421,365,ACK,device4,iOS14,76,10,745,96,82,8,3,2,0,1,0,1,1,0
10.149.1.208,192.168.15.244,47715,45363,UDP,1491,17,4317,222,SYN,device6,Android10,84,2,511,60,68,2,2,1,1,0,1,0,0,1
172.23.238.117,10.192.165.22,32171,22250,UDP,1476,33,9623,587,PSH,device4,iOS14,13,15,297,3,34,5,0,1,1,1,1,0,0,0
172.19.185.221,10.168.91.14,37373,63710,ICMP,76,92,8864,667,SYN,device2,LinuxUbuntu,92,19,861,89,67,0,2,1,1,1,1,0,0,0
172.26.86.206,10.26.189.9,35718,55514,TCP,1097,43,776,592,ACK,device4,Windows7,28,49,373,4,78,2,0,2,0,0,1,1,0,1
192.168.25.131,10.93.229.64,21647,7686,TCP,297,10,9090,345,PSH,device5,Windows10,48,22,547,88,41,7,2,2,0,0,0,1,0,0
10.168.136.167,172.20.133.174,51690,52189,ICMP,941,28,6767,547,RST,device1,LinuxUbuntu,2,34,313,23,79,2,1,2,0,0,1,1,1,1
192.168.32.18,192.168.25.51,42965,2458,TCP,564,9,7680,141,ACK,device5,LinuxUbuntu,1,40,481,17,68,3,3,2,1,0,1,1,0,0
192.168.128.10,10.241.185.232,52066,1129,UDP,856,7,8894,489,PSH,device6,LinuxUbuntu,57,41,332,95,84,2,4,0,0,1,1,0,0,0
10.101.92.25,192.168.72.52,62262,5054,ICMP,718,76,1956,511,SYN,device6,MacOS,26,39,145,71,3,3,1,1,0,0,0,0,0,1
172.28.219.86,10.11.200.80,51714,56515,TCP,1424,93,9997,830,RST,device5,iOS14,52,10,953,90,75,4,1,2,0,1,0,1,1,0
10.96.135.64,172.29.95.173,62042,15308,UDP,720,58,1212,555,ACK,device4,iOS14,52,28,520,21,61,8,0,0,1,0,0,1,1,1
192.168.242.45,192.168.62.67,61405,50568,UDP,1271,71,7406,253,ACK,device2,Windows7,63,9,734,94,29,6,3,2,1,0,1,0,1,0
10.254.198.92,10.191.250.122,26341,54819,TCP,398,39,5318,657,FIN,device2,Android10,2,9,752,39,25,1,1,2,1,0,0,1,0,1
172.29.17.229,10.112.69.205,34289,36355,UDP,833,22,6174,525,SYN,device4,Android10,8,21,311,61,71,4,1,0,0,1,1,0,1,0
10.11.167.124,172.20.56.197,61662,12728,UDP,1086,33,6434,111,SYN,device3,LinuxUbuntu,24,44,598,88,74,0,1,1,0,1,0,0,0,1
172.20.99.174,192.168.138.160,42852,14002,ICMP,1007,93,7488,529,ACK,device2,Android10,88,10,828,73,56,8,0,0,1,1,0,0,1,1
